LIMA CENTRAL,3932488,Promed
LIMA PERIFERICA,3932488,Promed
NORTE CHICO,3932488,Promed
NORTE GRANDE A - TUMBES Y PIURA,3932488,Promed
NORTE GRANDE B - LAMB CAJA AMAZO,3932488,Promed
NORTE MEDIO - LA LIBERTAD ANCASH (CHIMB),3932488,Promed
SELVA,3932488,Promed
SIERRA CENTRAL,3932488,Promed
SUR CHICO,3932488,Promed
SUR GRANDE COSTA - AREQUIPA MOQ TACNA,3932488,Promed
SUR GRANDE SIERRA ORIENTE - APU CUS PUNO MD,3932488,Promed
