3694924,Provincia de Mariscal C ceres,-7.2739,-77.18216,ADM2,PE,22,2206,,0,America/Lima,3692385
3694961,Provincia de Mara  n,-8.71916,-76.68794,ADM2,PE,10,1007,,0,America/Lima,3696416
3695112,Provincia de Luya,-6.34222,-78.06806,ADM2,PE,01,0105,,0,America/Lima,3699699
3695237,Provincia de Loreto,-4.05956,-75.14965,ADM2,PE,16,1603,,0,America/Lima,3695238
3695414,Provincia de Leoncio Prado,-9.14859,-76,ADM2,PE,10,1006,,0,America/Lima,3696416
3695752,Provincia de Lambayeque,-6.18756,-79.97486,ADM2,PE,14,1403,,0,America/Lima,3695753
3695756,Provincia de Lamas,-6.2206,-76.45822,ADM2,PE,22,2205,,0,America/Lima,3692385
3696149,Provincia de Ja n,-5.71074,-79.00438,ADM2,PE,06,0608,,0,America/Lima,3699087
3696296,Provincia de Huaylas,-8.939,-77.81951,ADM2,PE,02,0212,,0,America/Lima,3699674
3696358,Provincia de Huarmey,-10.07832,-77.93619,ADM2,PE,02,0211,,0,America/Lima,3699674
3696371,Provincia de Huari,-9.43117,-77.10711,ADM2,PE,02,0210,,0,America/Lima,3699674
3696377,Provincia de Huaraz,-9.56109,-77.64605,ADM2,PE,02,0201,,0,America/Lima,3699674
3696415,Provincia de Hu nuco,-9.76717,-76.22052,ADM2,PE,10,1001,,0,America/Lima,3696416
3696465,Provincia de Huancabamba,-5.4681,-79.51314,ADM2,PE,20,2003,,0,America/Lima,3693525
3696505,Provincia de Huamal es,-9.37124,-76.57444,ADM2,PE,10,1005,,0,America/Lima,3696416
3696534,Provincia de Huallaga,-6.75664,-76.90143,ADM2,PE,22,2204,,0,America/Lima,3692385
3696537,Provincia de Hualgayoc,-6.68,-78.53,ADM2,PE,06,0607,,0,America/Lima,3699087
3697032,Provincia de Ferre afe,-6.32908,-79.46171,ADM2,PE,14,1402,,0,America/Lima,3695753
3697460,Provincia de Dos de Mayo,-9.64548,-76.70959,ADM2,PE,10,1003,,0,America/Lima,3696416
3697539,Provincia de Cutervo,-6.20714,-78.82022,ADM2,PE,06,0606,,0,America/Lima,3699087
3697793,Provincia de Corongo,-8.57483,-77.88264,ADM2,PE,02,0209,,0,America/Lima,3699674
3697795,Provincia de Coronel Portillo,-8.70238,-73.9459,ADM2,PE,25,2501,,0,America/Lima,3691099
3697832,Provincia de Contumaz ,-7.37587,-78.96559,ADM2,PE,06,0605,,0,America/Lima,3699087
3697834,Provincia de Contralmirante Villar,-3.98298,-80.72448,ADM2,PE,24,2402,,0,America/Lima,3691146
3698139,Provincia de Chota,-6.38332,-79.18055,ADM2,PE,06,0604,,0,America/Lima,3699087
3698348,Provincia de Chiclayo,-6.80495,-79.5501,ADM2,PE,14,1401,,0,America/Lima,3695753
3698538,Provincia de Chachapoyas,-6.2748,-77.81067,ADM2,PE,01,0101,,0,America/Lima,3699699
3698607,Provincia de Celend n,-6.79292,-78.21703,ADM2,PE,06,0603,,0,America/Lima,3699087
3698678,Provincia de Casma,-9.47638,-78.24738,ADM2,PE,02,0208,,0,America/Lima,3699674
3698813,Provincia de Carhuaz,-9.317,-77.551,ADM2,PE,02,0206,,0,America/Lima,3699674
3699086,Provincia de Cajamarca,-7.19721,-78.46559,ADM2,PE,06,0601,,0,America/Lima,3699087
3699094,Provincia de Cajabamba,-7.55637,-78.08903,ADM2,PE,06,0602,,0,America/Lima,3699087
3699269,Provincia de Bongar ,-5.68341,-77.87308,ADM2,PE,01,0103,,0,America/Lima,3699699
3699282,Provincia de Bol var,-7.30143,-77.73086,ADM2,PE,13,1303,,0,America/Lima,3695781
3699485,Provincia de Bagua,-5.09006,-78.39972,ADM2,PE,01,0102,,0,America/Lima,3699699
3699501,Provincia de Ayabaca,-4.71384,-79.80356,ADM2,PE,20,2002,,0,America/Lima,3693525
3699607,Provincia de Antonio Raymondi,-9.11311,-77.05249,ADM2,PE,02,0203,,0,America/Lima,3699674
3699735,Provincia de Alto Amazonas,-5.81276,-76.10229,ADM2,PE,16,1602,,0,America/Lima,3695238
3699820,Provincia de Aija,-9.77803,-77.66454,ADM2,PE,02,0202,,0,America/Lima,3699674
3925316,Provincia de Ica,-14.27799,-75.6579,ADM2,PE,11,1101,,0,America/Lima,3938526
3925567,Provincia de Yauyos,-12.50281,-75.9011,ADM2,PE,15,1510,,0,America/Lima,3936452
3925598,Provincia de Yauli,-11.52788,-76.09648,ADM2,PE,12,1208,,0,America/Lima,3937485
3926224,Provincia de V ctor Fajardo,-13.70852,-74.24719,ADM2,PE,05,0510,,0,America/Lima,3947018
3926436,Provincia de Urubamba,-13.24043,-72.25995,ADM2,PE,08,0813,,0,America/Lima,3941583
3927670,Provincia de Tayacaja,-12.24202,-74.76755,ADM2,PE,09,0907,,0,America/Lima,3939467
3927757,Provincia de Tarma,-11.40562,-75.69129,ADM2,PE,12,1207,,0,America/Lima,3937485
3927773,Provincia de Tarata,-17.40978,-69.98273,ADM2,PE,23,2304,,0,America/Lima,3928127
3927937,Provincia de Tambopata,-12.19948,-70.05006,ADM2,PE,17,1701,,0,America/Lima,3935619
3928091,Tahuamanu,-11.23086,-70.25752,ADM2,PE,17,1703,,0,America/Lima,3935619
3928126,Provincia de Tacna,-17.97804,-70.25882,ADM2,PE,23,2301,,0,America/Lima,3928127
3928923,Provincia de Satipo,-11.567,-74.09367,ADM2,PE,12,1206,,0,America/Lima,3937485
3929310,Provincia de San Rom n,-15.70792,-70.43109,ADM2,PE,21,2111,,0,America/Lima,3931275
3929739,Provincia de Sandia,-13.8429,-69.32376,ADM2,PE,21,2112,,0,America/Lima,3931275
3930459,Provincia de Recuay,-9.95959,-77.42517,ADM2,PE,02,0217,,17185,America/Lima,3699674
3930646,Provincia de Quispicanchi,-13.56821,-70.98883,ADM2,PE,08,0812,,0,America/Lima,3941583
3931274,Provincia de Puno,-16.13092,-70.08682,ADM2,PE,21,2101,,0,America/Lima,3931275
3932143,Provincia de Pisco,-13.80377,-75.94264,ADM2,PE,11,1105,,0,America/Lima,3938526
3932649,Provincia de Paucartambo,-13.15071,-71.51398,ADM2,PE,08,0811,,0,America/Lima,3941583
3932833,Provincia de Pasco,-10.7225,-76.11364,ADM2,PE,19,1901,,0,America/Lima,3932834
3932863,Provincia de Paruro,-13.89274,-71.91348,ADM2,PE,08,0810,,0,America/Lima,3941583
3932906,Provincia de Parinacochas,-15.02965,-73.63487,ADM2,PE,05,0507,,0,America/Lima,3947018
3933344,Provincia de Palpa,-14.37519,-75.17624,ADM2,PE,11,1104,,0,America/Lima,3938526
3933873,Provincia de Oxapampa,-10.29505,-74.94933,ADM2,PE,19,1903,,0,America/Lima,3932834
3934353,Nasca,-14.95533,-75.09131,ADM2,PE,11,1103,,0,America/Lima,3938526
3935054,Provincia de Melgar,-14.67558,-70.70322,ADM2,PE,21,2108,,0,America/Lima,3931275
3935255,Provincia de Mariscal Nieto,-17.02573,-70.80488,ADM2,PE,18,1801,,0,America/Lima,3934607
3935423,Provincia de Manu,-12.26595,-71.29033,ADM2,PE,17,1702,,0,America/Lima,3935619
3935835,Provincia de Lucanas,-14.61805,-74.35567,ADM2,PE,05,0506,,0,America/Lima,3947018
3936625,Provincia de La Uni n,-15.05583,-72.79345,ADM2,PE,04,0408,,0,America/Lima,3947319
3936995,Provincia de Lampa,-15.39462,-70.62606,ADM2,PE,21,2107,,0,America/Lima,3931275
3937045,Provincia de La Mar,-13.03312,-73.70571,ADM2,PE,05,0505,,0,America/Lima,3947018
